Entity Name,Location,Description,Website
Refract Media,Ottawa,"Refract Media utilizes drones for specialized operations and media, requiring precise piloting and data capture. While more media-focused, their operations often push the boundaries of drone capabilities. Your technical background could help them expand into more complex industrial or survey-grade applications.",https://refract.media/
GHGSat,Ottawa/Montreal,"GHGSat operates a constellation for monitoring greenhouse gases, requiring precise payload operations and data analysis. Your orbital mechanics knowledge and remote sensing background are excellent assets for their mission planning and data teams. This role combines space technology with critical environmental monitoring.",https://www.ghgsat.com/
NorthStar Earth & Space,Ottawa/Montreal,"NorthStar's focus on Space Situational Awareness and object tracking is a direct continuation of your thesis work on resident space objects. Your deep understanding of orbital mechanics and collision prediction algorithms makes you an ideal candidate. This is a high-impact role ensuring the sustainability of the space environment.",https://northstar-data.com/
Telesat (Lightspeed),Ottawa,"As they build the Lightspeed LEO constellation, Telesat needs systems engineers to manage complex network and orbital dynamics. Your aerospace master's degree provides the rigorous systems thinking required for such a massive infrastructure project. This role offers stability and the chance to work on a global-scale space communications network.",https://www.telesat.com/
Kepler Communications,Toronto,"Kepler is building the internet for space with a vertically integrated approach to satellite manufacturing. Your desire for a fast-paced 'New Space' environment aligns perfectly with their iterative development culture. This role allows you to work on the cutting edge of inter-satellite links and constellation management.",https://kepler.space/
Volta Space Technologies,Montreal,"Developing wireless power transmission for lunar and orbital assets, Volta operates at the frontier of space utility. Your background in space systems and innovative problem-solving would be valuable in defining these new architectures. This is a deep-tech startup tackling a fundamental bottleneck in space exploration.",https://voltaspace.com/
Canadian Space Mining Corporation,Toronto,"CSMC focuses on space resources, infrastructure, and nuclear power, aligning with your interest in lunar and unstructured environments. Your robust engineering background fits well with their ambitious goals for in-situ resource utilization. This role offers the chance to work on the heavy industrial infrastructure of the future space economy.",https://www.strategicmissions.ca/
MPB Communications,Montreal,"MPB develops optical inter-satellite links, a technology requiring extreme precision in pointing and control. Your GNC background is highly relevant to the challenges of maintaining laser links in orbit. This is a niche, high-tech role in the critical field of space communications hardware.",https://www.mpbcommunications.com/
Bubble Technology Industries,Chalk River,"Specializing in radiation detection for lunar missions, BTI offers a unique niche in space instrumentation. Your physics-aware engineering approach is suited for integrating sensitive payloads onto rovers and landers. This role connects your aerospace skills with fundamental scientific instrumentation.",https://bubbletech.ca/
Magellan Aerospace,Ottawa,"Magellan's Advanced Technologies group works on sounding rockets and payload development, offering classic aerospace engineering challenges. Your solid foundation in aerospace structures and dynamics is a direct match for their launch vehicle projects. This role provides a connection to established Canadian space heritage.",https://magellan.aero/
SimActive,Montreal,"SimActive develops high-end photogrammetry software, which is the direct commercial application of your thesis research. Your deep understanding of SfM algorithms and bundle adjustment makes you a subject matter expert for their R&D team. This role allows you to push the boundaries of mapping software used globally.",https://www.simactive.com/
Teledyne CARIS,Fredericton,"As a leader in ocean mapping software, Teledyne CARIS processes sonar and LiDAR data for hydrography. Your skills in 3D reconstruction and point cloud processing are transferable from space to the ocean domain. This role offers a software-focused career in the thriving Blue Economy.",https://www.teledynecaris.com/
Galaxia Mission Systems,"Halifax, NS","Galaxia builds software-defined satellites with edge AI, directly aligning with your experience in embedded inference on orbit. Your work on optimizing vision models for constrained hardware is exactly what they need for their ocean intelligence platforms. This is a perfect 'Space-to-Sea' pivot opportunity.",https://gx.space/
Pleora Technologies,Ottawa (Kanata),"Pleora specializes in AI-powered visual inspection and GigE Vision, bringing deep learning to the factory floor. Your expertise in edge deployment and real-time computer vision makes you a strong candidate for their Vaira platform. This role offers a stable path into industrial AI with a company that values hardware-software integration.",https://www.pleora.com/
Kraken Robotics,"Mount Pearl, NL / Halifax","Kraken is a global leader in Synthetic Aperture Sonar and AUVs, utilizing acoustic SLAM for underwater navigation. Your GNC expertise and understanding of signal processing are directly applicable to their autonomous subsea vehicles. This role allows you to work on high-end robotics in the challenging marine environment.",https://krakenrobotics.com/
Korechi Innovations,"Oshawa/Holland Marsh, ON","Korechi builds autonomous robots for agriculture and turf management, operating in the unstructured outdoor environments you prefer. Your background in mobile robotics and path planning is essential for navigating mud, grass, and variable terrain. This role offers hands-on experience with field robotics deployment.",https://korechi.com/
Haggerty AgRobotics,Bothwell,"Running 'Innovation Farms,' Haggerty tests and validates ag-robots, providing a unique 'ground truthing' service. Your interest in seeing how algorithms fail in the real world matches their mission of field validation. This is an opportunity to get your hands dirty and understand the practical limits of agricultural autonomy.",https://haggertyagrobotics.com/
Deep Forestry,North Bay,"Deep Forestry develops drones that fly below the canopy, a GPS-denied environment requiring robust SLAM and collision avoidance. Your thesis work on pose estimation is directly applicable to mapping tree stems in real-time. This is a deep-tech role solving a hard perception problem in the forestry sector.",https://deepforestry.com/
Ukkö Robotics,Manitoba/Ottawa,"Ukkö builds massive autonomous livestock housing units, presenting unique control and navigation challenges. Your understanding of dynamics and safety-critical systems is relevant to moving large structures around animals. This is a niche robotics application with significant impact on sustainable agriculture.",https://ukkorobotics.com/
4AG Robotics,Remote/Regional,"4AG Robotics focuses on mushroom harvesting, a task requiring precise computer vision and manipulation in complex biological environments. Your pose estimation skills are critical for identifying and picking mushrooms without damage. This remote-friendly role allows you to apply advanced CV to a tangible agricultural problem.",https://4agrobotics.com/
Voyis,"Waterloo, ON","Voyis creates subsea laser scanning systems, effectively bringing your photogrammetry expertise underwater. Your deep knowledge of 3D reconstruction and optical correction is a perfect match for their technology stack. This role bridges your aerospace vision skills with the marine technology sector.",https://voyis.com/
Marine Thinking,Halifax,"Marine Thinking's 'AI Captain' retrofits vessels for autonomy, requiring sensor fusion of radar, LiDAR, and cameras. Your background in autonomous systems and collision avoidance is directly relevant to their navigation stack. This role offers the chance to define the future of autonomous surface vessels.",https://marinethinking.com/
Open Ocean Robotics,"Victoria, BC / Halifax","Developing solar-powered USVs, this company tackles long-endurance ocean monitoring with edge AI. Your energy-aware planning and embedded systems knowledge would be valuable for their persistent missions. This role combines marine robotics with environmental stewardship.",https://openoceanrobotics.com/
ReelData AI,"Halifax, NS","ReelData uses computer vision for aquaculture, estimating fish biomass and optimizing feeding in real-time. Your experience with stereo vision and object detection is directly applicable to analyzing fish populations. This is a high-growth AI role within the sustainable food sector.",https://www.reeldata.ai/
SafeSight Exploration,"North Bay, ON","SafeSight uses drones for underground mining, operating in GPS-denied, dark, and dangerous environments. Your SLAM and state estimation skills are critical for keeping drones stable and localized in mine shafts. This role offers a unique application of aerospace tech to the mining industry.",https://safesightxp.com/
MASINNO,Kanata,"MASINNO focuses on Multi-Autonomous Mobile Robot integration, building the middleware that allows different robots to cooperate. Your interest in swarm intelligence and multi-agent systems makes you a strong fit for their interoperability challenges. This role involves solving the complex logic of fleet management and coordination.",https://masinnovation.com/
MAE Robotics,Ottawa,"MAE Robotics develops advanced force-torque sensors, enabling robots to 'feel' interactions. Your aerospace background in dynamics and control theory is useful for integrating tactile feedback into robotic manipulation tasks. This is a hardware-centric role that complements your vision expertise.",https://maerobotics.com/
ReasonX Labs,Ottawa,"ReasonX Labs provides AI/ML solutions and recruitment for the smart mobility sector. Engaging with them can open doors to unlisted opportunities in autonomous driving and intelligent transportation. Your profile as a specialized AI engineer matches the high-caliber talent they seek.",https://www.reasonx.ai/
Woodpeckr,Waterloo,"Woodpeckr uses autonomous drones for construction monitoring, requiring precise flight and data capture. Your GNC background ensures you understand the stability and control requirements for drone inspection. This is an early-stage startup where you can wear multiple hats from pilot to developer.",https://velocityincubator.com/company/woodpeckr
Lodestar Space,London/Remote,"Lodestar is developing robotic capture systems for in-orbit servicing, a direct continuation of your thesis topic. Your expertise in pose estimation and robotic manipulation in space is exactly what they need. This role offers the chance to work on the 'hands' that will build infrastructure in orbit.",https://lodestar.space/
MindBridge,Ottawa,"MindBridge applies machine learning to fintech for anomaly detection and auditing. While outside robotics, their rigorous use of unsupervised learning matches your strong data science foundation. This role offers a stable, high-paying entry into the commercial AI sector.",https://www.mindbridge.ai/
Kinaxis,Ottawa,"Kinaxis is a supply chain giant using ML for forecasting and predictive analytics. Your systems engineering mindset helps in understanding complex global supply networks. This role provides exposure to enterprise-grade software development and optimization problems.",https://www.kinaxis.com/
Private AI,Kanata,"Specializing in privacy-preserving ML and NLP, Private AI addresses critical data security needs. Your understanding of data pipelines and model deployment is relevant to their secure processing architectures. This is a growing field as AI regulation tightens globally.",https://www.private-ai.org/
Lytica,Ottawa,"Lytica uses AI for electronic component supply chain analytics, a data-heavy domain. Your experience with large datasets and data processing pipelines is directly applicable here. This role sits at the intersection of hardware knowledge and data science.",https://lytica.com/
Replica Analytics,Ottawa,"Replica Analytics generates synthetic data for healthcare, using generative models similar to those you might use for simulation. Your background in training models on synthetic data for domain adaptation is highly relevant. This role contributes to privacy and data accessibility in medical research.",https://replica-analytics.com/
Fellow,Ottawa,"Fellow builds AI-powered meeting management software, focusing on productivity and NLP. While a SaaS play, their engineering culture is strong and offers a pivot into pure software product development. This is a good option if you want to focus on user-centric AI applications.",https://fellow.ai/
Braiyt.AI,Ottawa,"Braiyt.AI focuses on cognitive automation and computer vision for business processes. Your expertise in deploying vision models matches their need for automated visual analysis. This role applies your technical skills to streamlining enterprise workflows.",https://braiyt.ai/
ReliqAI,Ottawa,"ReliqAI works on Edge AI and digital twins for healthcare and IoT. Your experience optimizing models for NVIDIA Jetson devices is directly applicable to their edge computing stack. This role combines hardware constraints with AI deployment in a critical sector.",https://reliq.ai/
Fullscript,Kanata,"Fullscript uses ML for healthcare recommendations and supply chain optimization. Your background in data engineering and system architecture would support their backend intelligence. This is a high-growth company with a mature engineering team.",https://fullscript.com/
GoFor,Ottawa,"GoFor optimizes logistics with AI, tackling the 'last mile' delivery problem. Your knowledge of route planning and optimization algorithms is relevant to their logistics engine. This role applies mathematical optimization to real-world physical delivery networks.",https://www.goforindustries.com/
Robotics Centre Inc.,Ottawa,"The Robotics Centre specializes in UAS and defense signals intelligence, often in GPS-denied environments. Your GNC skills and SLAM knowledge are critical for their autonomous drone operations. This role offers exposure to high-end military and industrial drone technology.",https://www.robotics-centre.com/
AVSS,Ottawa,"AVSS builds parachute recovery systems for drones, a safety-critical aerospace application. Your background in aerospace engineering and dynamics is essential for designing reliable recovery mechanisms. This role directly addresses the regulatory and safety barriers to drone adoption.",https://avss.co/
NORTAC Defence,Ottawa,"NORTAC provides situational awareness and tracking systems for defense. Your understanding of sensor data integration and comms links aligns with their tracking solutions. This role offers stability within the defense technology sector.",https://nortacdefence.com/
Simfront Simulations,Ottawa,"Simfront develops VR simulation and C2 systems for defense training. Your interest in simulation and digital twins matches their work in creating immersive training environments. This role bridges the gap between physical operations and virtual training.",https://simfront.com/
QSP Geographics Inc.,Ottawa,"QSP Geographics focuses on survey robotics, LiDAR, and GIS. Your expertise in photogrammetry and mapping is directly applicable to their geospatial services. This role applies your 3D reconstruction skills to terrestrial surveying.",http://www.qspgeographics.com/
iScano,Ottawa/Toronto/Montreal,"iScano specializes in LiDAR scanning and Scan-to-BIM services for construction and heritage. Your knowledge of point cloud processing and 3D modeling is a perfect fit for their technical team. This role allows you to work with high-fidelity reality capture data daily.",https://iscano.com/
G-O Geomatics Ottawa,Ottawa,"G-O Geomatics provides precision surveying and metrology services. Your background in measurement accuracy and coordinate systems is foundational to their work. This role offers practical field experience with high-end measurement equipment.",https://www.go-geomatics.com/
3D Map and Scan Inc.,Ontario,"This company focuses on drone photogrammetry and 3D scanning for visualization. Your thesis work on photogrammetry makes you an expert for their data processing needs. This role allows you to apply your research skills to commercial mapping projects.",https://3dmapandscan.com/
Maritime Robotics,Halifax,"Maritime Robotics (Halifax) develops service robots with computer vision capabilities. Your background in mobile robotics and perception is directly relevant to their product development. This is a startup environment where you can influence the design of service-oriented autonomous systems.",
Propel VR,Ottawa,"Propel VR develops VR/AR applications for education and training. Your understanding of 3D spatial reasoning translates well to designing immersive virtual environments. This role allows you to work with Unity/Unreal engines in a commercial context.",https://propelvr.ca/
Takeaway Reality,Ottawa,"Takeaway Reality is an XR agency building AR/VR experiences. Your technical background in 3D vision helps in creating realistic and performant XR applications. This role offers creativity combined with technical implementation.",https://www.takeaway-reality.com/
Feather VFX,Ottawa,"Feather VFX uses computer vision techniques like rotoscoping and matchmoving for film. Your deep understanding of camera geometry and tracking is highly valued in the VFX pipeline. This role applies your rigorous math skills to the creative art of visual effects.",https://studiofeather.com/
Hatch Studios,Ottawa,"Hatch Studios specializes in 3D animation and motion graphics. Your knowledge of physics and simulation can enhance the realism of their animations. This role is a creative outlet for your technical understanding of motion.",https://hatchstudios.com/
Ajax Creative,Ottawa,"Ajax Creative works on post-production and VFX, often requiring technical problem solving. Your ability to automate workflows with Python scripting is an asset in a production environment. This role combines storytelling with technical execution.",https://www.ajaxcreative.com/
Cloud in the Sky Studios,Ottawa,"This studio focuses on video production and animation. Your technical skills can support their pipeline efficiency and complex visual effects. It's an opportunity to apply engineering discipline to creative media.",https://cloudintheskystudios.com/
Convergent Imaging Solutions,Ottawa,"Convergent develops medical imaging AI and PET/CT analysis tools. Your deep learning background in image analysis is directly transferable to medical diagnostics. This role offers a high-impact application of your computer vision skills in healthcare.",http://www.convergentimaging.com/
InPho,Ottawa,"InPho develops fiber optic chips for high-speed AI acceleration. Your interest in edge compute and hardware optimization aligns with their mission to speed up AI. This is a deep-tech hardware role at the physical layer of AI processing.",https://www.inpho.io/
Deep Vision Inc.,Dartmouth,"Deep Vision specializes in machine perception for ocean and defense applications. Your thesis work on object detection and pose estimation is a direct match for their marine situational awareness tech. This role places you in the heart of the Atlantic BlueTech cluster.",https://www.deepvision.ca/
Ocean Sonics,Great Village,"Ocean Sonics designs digital hydrophones and acoustic sensors. Your signal processing knowledge is relevant to interpreting underwater acoustic data. This role connects you with the environmental monitoring and marine research community.",https://oceansonics.com/
GeoSpectrum Technologies,Dartmouth,"GeoSpectrum builds underwater acoustic transducers and systems. Your engineering physics background helps in understanding their sensor hardware and integration. This is a core hardware role in the underwater technology supply chain.",https://geospectrum.ca/
MetOcean Telematics,Dartmouth,"MetOcean specializes in satellite comms and IoT telemetry for the ocean. Your knowledge of satellite systems and data links is highly relevant to their products. This role combines space tech with marine applications.",https://www.metocean.com/
Turbulent Research,Dartmouth,"Turbulent Research focuses on passive acoustic devices and sensors. Your understanding of sensor data acquisition is key to their underwater monitoring systems. This is a niche R&D role in marine acoustics.",https://turbulentresearch.com/
Dynamic Systems Analysis,NS,"DSA develops simulation software for marine dynamics and ocean engineering. Your expertise in simulation and physics modeling is a perfect match for their software team. This role allows you to build the tools that other marine engineers rely on.",https://dsa-ltd.com/
Nifty Vector,Halifax,"Nifty Vector develops submillimeter 3D tracking for VR/AR. Your thesis on precise pose estimation is directly applicable to their high-fidelity tracking algorithms. This is a deep-tech startup solving a fundamental problem in spatial computing.",https://niftyvector.com/
Modest Tree,Halifax,"Modest Tree builds immersive training software and digital twins for defense and industry. Your background in 3D visualization and simulation aligns with their platform development. This role bridges complex engineering data with user-friendly training environments.",https://modesttree.com/
Current Studios,Halifax,"Current Studios creates AR/VR and mobile experiences with a technical edge. Your computer vision skills can enable novel interactions and object tracking in their apps. This role offers a blend of creative development and emerging tech.",https://currentstudios.ca/
Mars VR Lab,NS,"Mars VR Lab uses VR for healthcare rehabilitation. Your interest in applying tech for good aligns with their mission to help patients. This role applies spatial computing to improve human health outcomes.",https://marsvrlab.com/
Scient Analytics,Halifax,"Scient Analytics uses AI and hyperspectral imaging for mining core analysis. Your deep learning expertise matches their need for automated geological classification. This is a deep-tech role revolutionizing the mining exploration workflow.",https://www.scient.ca/
KorrAI,NS,"KorrAI leverages satellite data and AI for mining exploration. Your remote sensing and earth observation background is directly applicable to their platform. This role applies space data to terrestrial resource discovery.",https://www.korrai.com/
Nova Robotics,Porters Lake,"Nova Robotics integrates industrial robots with AI for inspection. Your interest in manufacturing automation and vision systems makes you a strong candidate. This role offers practical experience with deploying robots in factories.",https://nova-robotics.ca/
Site 20/20,Dartmouth,"Site 20/20 automates traffic management with smart systems. Your knowledge of sensor integration and safety-critical systems is relevant to their traffic control tech. This role applies automation to improve road safety and efficiency.",https://site2020.com/
Talkatoo Inc.,Halifax,"Talkatoo develops voice AI for veterinarians. While NLP-focused, their use of generative AI matches your interest in foundation models. This is a high-growth startup environment in a specialized vertical.",https://talkatoo.com/
NovaResp Technologies,Halifax,"NovaResp builds AI-driven respiratory support devices. Your background in control loops and predictive algorithms is relevant to their adaptive therapy tech. This role applies real-time control logic to medical devices.",https://novaresp.ai/
Mimosa Diagnostics,Halifax,"Mimosa uses handheld imaging for medical diagnostics. Your computer vision skills are applicable to analyzing their tissue imaging data. This role combines mobile hardware with medical image analysis.",https://mimosadiagnostics.com/
Adaptiiv,Halifax,"Adaptiiv creates software for 3D printing medical boluses. Your knowledge of 3D modeling and geometry processing is essential for their personalized care solutions. This role sits at the intersection of software, manufacturing, and oncology.",https://www.adaptiiv.com/
Upbeing Inc.,Halifax,"Upbeing uses passive data and AI for behavioral health insights. Your data science skills are relevant to analyzing their complex user datasets. This role applies AI to human well-being and psychology.",https://www.upbeing.com/
Begin AI,Halifax,"Begin AI builds decentralized ML infrastructure. Your interest in edge AI and efficient model deployment aligns with their mission. This is a core infrastructure role enabling other AI applications.",https://begin.ai/
